rid | sid |            tape             | pos
 74 |   0 | {2,2,2,2,1,1,1,2,0,2,2}     |   9
 75 |   1 | {2,2,2,2,1,1,1,2,1,2,2}     |  10
 76 |   0 | {2,2,2,2,1,1,1,2,1,0,2}     |  11
 77 |   0 | {2,2,2,2,1,1,1,2,1,0,1}     |  10
 78 |   1 | {2,2,2,2,1,1,1,2,1,1,1}     |  11
 79 |   1 | {2,2,2,2,1,1,1,2,1,1,2}     |  12
 80 |   0 | {2,2,2,2,1,1,1,2,1,1,2,2}   |  11
 81 |   0 | {2,2,2,2,1,1,1,2,1,1,1,2}   |  10
 82 |   0 | {2,2,2,2,1,1,1,2,1,2,1,2}   |   9
 83 |   0 | {2,2,2,2,1,1,1,2,2,2,1,2}   |   8
 84 |   0 | {2,2,2,2,1,1,1,1,2,2,1,2}   |   7
 85 |   0 | {2,2,2,2,1,1,2,1,2,2,1,2}   |   6
 86 |   0 | {2,2,2,2,1,2,2,1,2,2,1,2}   |   5
 87 |   0 | {2,2,2,2,2,2,2,1,2,2,1,2}   |   4
 88 |   0 | {2,2,2,1,2,2,2,1,2,2,1,2}   |   3
 89 |   0 | {2,2,1,1,2,2,2,1,2,2,1,2}   |   2
 90 |   0 | {2,1,1,1,2,2,2,1,2,2,1,2}   |   1
 91 |   0 | {1,1,1,1,2,2,2,1,2,2,1,2}   |   0
 92 |   1 | {1,1,1,1,1,2,2,2,1,2,2,1,2} |   1
 93 |   1 | {2,1,1,1,1,2,2,2,1,2,2,1,2} |   2
 94 |   1 | {2,2,1,1,1,2,2,2,1,2,2,1,2} |   3
 95 |   1 | {2,2,2,1,1,2,2,2,1,2,2,1,2} |   4
 96 |   1 | {2,2,2,2,1,2,2,2,1,2,2,1,2} |   5
 97 |   1 | {2,2,2,2,2,2,2,2,1,2,2,1,2} |   6
 98 |   0 | {2,2,2,2,2,0,2,2,1,2,2,1,2} |   7
 99 |   0 | {2,2,2,2,2,0,1,2,1,2,2,1,2} |   6
100 |   1 | {2,2,2,2,2,1,1,2,1,2,2,1,2} |   7

